n,m,secant_dim,exp_dim,defect
2,1,5,5,0
3,1,9,9,0
4,2,27,28,1
5,3,57,60,3
6,4,102,108,6
7,6,195,210,15
8,7,287,308,21
9,9,450,486,36
10,11,660,715,55
11,13,923,1001,78
12,15,1245,1350,105
13,17,1632,1768,136
14,20,2190,2380,190
15,22,2739,2970,231
16,25,3500,3800,300
17,28,4382,4760,378
18,31,5394,5859,465
19,35,6720,7315,595
20,38,8037,8740,703
